
Data sent to Vercel successfully: {'date': '2025-01-18T17:37:50.973334', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.168, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:48:56.061441', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.113, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:04.477448', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.113, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:12.893801', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:21.309424', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:29.729559', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:38.173413', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.111, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:46.589445', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:49:55.005480', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:03.421422', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:11.837320', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:20.253406', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:28.669585', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.111, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:37.085413', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.113, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:45.501925', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:50:53.917439', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:02.333407', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.111, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:10.752844', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.11, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:19.197380', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.111, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:27.613394', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.109, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:36.029536', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.11, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:44.448975', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.109, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:51:52.893412', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.109, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:01.309398', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:09.728970', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.112, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:18.173912', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.113, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:26.589526', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:35.005668', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:43.423331', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:52:51.841398', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:00.285494', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:08.705763', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:17.149480', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:25.565434', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:33.981498', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:42.397636', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:50.845417', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:53:59.261479', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:07.677113', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:16.097313', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:24.601570', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.127, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:33.021414', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:41.437211', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:49.853183', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:54:58.270487', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.117, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:06.686242', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:15.101355', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:23.606450', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.116, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:32.032340', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.112, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:40.477401', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.113, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:48.893440', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.114, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:55:57.309424', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.115, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:05.725081', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.118, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:14.213973', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.118, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:22.653375', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.119, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:31.069421', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:39.485400', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:47.910473', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:56:56.381429', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:04.797267', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:13.213998', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.124, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:21.629389', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.122, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:30.045350', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:38.461408', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.126, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:46.877446', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:57:55.293445', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.124, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:03.712537', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.124, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:12.157397', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.123, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:20.573497', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.127, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:28.989464', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.126, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:37.405425', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.128, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:45.821371', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.128, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:58:54.237507', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.134, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:02.653382', 'conductivity': 0.0, 'density': 998.77, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.131, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:11.069385', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.131, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:19.485382', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.135, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:27.913498', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.134, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:36.349393', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.137, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:44.767023', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.134, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:59:53.181498', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.87, 'pH': 8.138, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
